id,code,loc_ru,loc_en,name_ru,name_en
3211Line,32110000,"Лин",Line,"плотины подводные","Underwater dams"
3211Vect,32110000,"Век",Vect,"плотины",Dams
3212,32120000,"Лин, Плщ, Век","Line, Poly, Vect","шлюзы",Lock
32121,32121000,"Лин, Век","Line, Vect","ворота шлюзов","Gate of a lock"
321211,32121100,"Лин",Line,"ворота шлюзов с мостами","Gate of a lock with a bridge"
3213,3213,,,,levee
3213Line,32130000,"Лин",Line,"дамбы (двусторонние в 2 линии)","Two-sided levee"
3213Poly,32130000,"Плщ",Poly,"дамбы",Levee
3214,32140000,"Лин",Line,"набережные деревянные","Wooden embankments"
3215,32150000,"Лин",Line,"берега с укрепленными откосами",Seawalls
3216,32160000,"Лин, Век","Line, Vect","волноломы и буны",Breakwaters
3221,32210000,"Плщ, Век","Poly, Vect","сухие доки ⚔","Dry docks"
3222,32220000,"Плщ, Век","Poly, Vect","слипы и стапели ⚔","Slipways and ramps"
3223,32230000,"Лин, Плщ, Век","Line, Poly, Vect","молы и причалы","Piers and berth"
3224,32240000,"Плщ, Век","Poly, Vect","пристани с оборудов. причалами","Quay with berth"
3225,32250000,"Век",Vect,"якорные стоянки без обор. прич. ⚔","Anchoridge without berths"
3231,32310000,"Лин",Line,"водопроводы наземные ⚔","Over-the-ground water pipelines"
3232,32320000,"Лин",Line,"кяризы недействующие ⚔","Inactive qanats"
3233,32330000,"Лин, Плщ, Век","Line, Poly, Vect","акведуки",Aqueducts
32331,32331000,"Лин",Line,"сторона акведука","Side of an aqueduct"
3234,32340000,"Век",Vect,"водораспред. устройства (влево)","Water distribution devices"
3235,32350000,"Лин",Line,"дюкеры на линиях водопроводов ⚔","Siphons on the water pipes"
3236,32360000,"Точ",Point,"шах. ствол. на подзем. канале ⚔","Shafts on the underground channels"
3241,32410000,"Точ",Point,"маяки ⚔",Lighthouses
3242,32420000,"Точ",Point,"огни ⚔","Navigation lights"
3243,32430000,"Точ",Point,"постоян. знаки берег. сигнализ. ⚔",
32431,32431000,"Точ",Point,"створные знаки","Alignment ranges"
324311,32431100,"Лин",Line,"линия, соединяющая створн. знаки","Lines connecting signs of alignment ranges"
3244,32440000,"Точ",Point,"плавучие маяки и плав. огни ⚔","Floating lights"
3245,32450000,"Точ",Point,"светящие буи ⚔","Lighted beacons"
3246,32460000,"Точ",Point,"водомерные посты","Water gauges"
32461,32461000,"Точ",Point,"футштоки","Sea gauges"
33111,33111000,"Лин",Line,"паромы железнодорожные","Railroad ferries"
33112,33112000,"Лин",Line,"паромы автомобильные","Car ferries"
33113,33113000,"Лин, Век","Line, Vect","паромы автогужевые","Car and horse ferries"
3312,33120000,"Лин, Век","Line, Vect","перевозы",Ferries
3313,33130000,"Точ, Лин","Point, Line","броды",Fords
34,34000000,"Точ, Плщ","Point, Poly","острова",Islands
411,41100000,"Плщ",Poly,"города",
412,41200000,"Плщ",Poly,"поселки городского типа (пгт)",
421,42100000,"Плщ",Poly,"поселки сельского типа",
422,42200000,"Плщ, Век","Poly, Vect","отдельные дворы (хутора)",
423,42300000,"Точ",Point,"постоянные стоянки юрт, чумов",
431,43100000,"Плщ",Poly,"поселки дачного типа",
432,43200000,"Плщ",Poly,"поселки, не отнесен. к катег. пгт",
433,43300000,"Плщ",Poly,"разруш. (полуразруш.) н/пункты",
434,43400000,"Плщ",Poly,"дачные и садовые участки",
441,44100000,"Точ, Лин, Плщ, Век","Point, Line, Poly, Vect","отдельные строения выдающиеся",
442Line,44200000,"Точ, Лин, Плщ","Point, Line, Poly","отдельные строения невыдающиеся",
442Vect,44200000,"Век",Vect,"отдельные строения разрушенные",
451,45100000,"Плщ",Poly,"кварталы незастроенные",
4514,45140000,"Плщ",Poly,"кварталы в прочих нас. пунктах",
4516,45160000,"Плщ",Poly,"п/застр. часть кварт. в проч. н/п ⚔",
4521,45210000,"Лин",Line,"сторона улицы (площади и т. п.)",
452Line,45200000,"Лин",Line,"проезды",
452Poly,45200000,"Плщ",Poly,"улицы",
453,45300000,"Плщ",Poly,"площади",
454,45400000,"Плщ",Poly,"части населенного пункта",
4551,45510000,"Плщ",Poly,"районы нового жилищн. строител.",
4552,45520000,"Плщ",Poly,"районы нового пром. строител.",
461,46100000,"Точ",Point,"выдающаяся часть здания (шпиль)",
51111,51111000,"Точ, Плщ, Век","Point, Poly, Vect","карьеры",
511111,51111100,"Плщ",Poly,"изрытые места",
51112,51112000,"Точ, Плщ","Point, Poly","открытые соляные разработки",
51113,51113000,"Точ, Плщ","Point, Poly","торфоразработки",
511211Point,51121100,"Точ",Point,"шахты (действующие)",
511211Poly,51121100,"Плщ",Poly,"шахты",
511213Point,51121300,"Точ",Point,"устья шахтных стволов (действ.) ⚔",
511213Poly,51121300,"Плщ",Poly,"устья шахтных стволов (копры) ⚔",
511213Vect,51121300,"Век",Vect,"устья шахтных стволов ⚔",
511214Point,51121400,"Точ",Point,"устья штолен (действующие) ⚔",
511214PolyVect,51121400,"Плщ, Век","Poly, Vect","устья штолен ⚔",
51122Point,51122000,"Точ",Point,"рудники, прииски, копи (действ.)",
51122Poly,51122000,"Плщ",Poly,"рудники, прииски, копи",
51123,51123000,"Точ, Плщ","Point, Poly","терриконы и отвалы",
511231,51123100,"Точ, Плщ","Point, Poly","терриконы",
511232,51123200,"Точ, Плщ","Point, Poly","отвалы",
51124,51124000,"Точ",Point,"скважины",
5112431,51124310,"Точ",Point,"скважины нефтяные",
5112432,51124320,"Точ",Point,"скважины газовые",
5112433,51124330,"Точ",Point,"скважины гидрологические",
51125,51125000,"Плщ",Poly,"нефтяные и газовые промыслы",
51126,51126000,"Точ",Point,"шурфы",
51131,51131000,"Точ, Лин, Плщ","Point, Line, Poly","пром. предприятия с трубами",
51132,51132000,"Точ, Лин, Плщ, Век","Point, Line, Poly, Vect","пром. предприятия без труб",
511331,51133100,"Плщ",Poly,"гаражи",
511411,51141100,"Плщ",Poly,"электростанции атомные",
511412,51141200,"Точ, Плщ, Век","Point, Poly, Vect","электростанции тепловые",
511413,51141300,"Точ, Плщ, Век","Point, Poly, Vect","ветроэлектростанции",
